indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome_check,standard_outcome_check,checker_before,Time_Frame,conceptId,conceptName,domainId,outcome_id
265,NCT04362137,Percentage of Patients With at Least One-point Deterioration From Baseline in Clinical Status,O1:286|O2:145,O1:16|O2:9|O1:14|O2:5,Ruxolitinib 5 mg|Placebo,Deterioration,Deterioration,"['Deterioration', 'Clinical Status']",Time Frame: Day 3 ,4138597,Clinical status,Observation,outcome_220
266,NCT04362137,Time to Improvement in Clinical Status,O1:286|O2:145,O1:9.0|O2:9.0,Ruxolitinib 5 mg|Placebo,improvement,Improvement,"['improvement', 'Improvement', 'Clinical Status']",Time Frame: Day 14 ,4138597,Clinical status,Observation,outcome_218
267,NCT04362137,Mean Change From Baseline in the Clinical Status,O1:287|O2:145|O1:280|O2:142|O1:278|O2:142,O1:-1.96|O2:-1.93|O1:-2.61|O2:-2.69,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,Mean Change,Mean Change,"['Clinical Status', 'Mean Change']",Time Frame: Day 1 - Day 29 ,4138597,Clinical status,Observation,outcome_221
268,NCT04362137,Mortality Rate,O1:287|O2:145|O1:286|O2:145|O1:286|O2:145,O1:6|O2:2|O1:9|O2:3,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,Mortality,Death ,"['Mortality Rate', 'Mortality']",Time Frame: during the survey administration ,4249566,Mortality rate,Observation,outcome_222
269,NCT04362137,Proportion of Patients Requiring Mechanical Ventilation,O1:286|O2:145,O1:22|O2:10,Ruxolitinib 5 mg|Placebo,Mechanical Ventilation,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation']",Time Frame: 29 days ,3190682,Requires mechanical ventilatory assistance,Condition,outcome_223
270,NCT04362137,Duration of Hospitalization,O1:286|O2:145,O1:9.0|O2:9.0,Ruxolitinib 5 mg|Placebo,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 29 ,46236995,Hospital stay duration,Observation,outcome_224
271,NCT04362137,Time to Hospital Discharge or to a NEWS2 Score of ≤2,O1:286|O2:145,O1:4.0|O2:4.0,Ruxolitinib 5 mg|Placebo,discharge,Discharge,"['NEWS2 Score', 'discharge', 'Discharge', 'Hospital']",Time Frame: Day 29 ,4142018,Discharge to hospital,Observation,outcome_225
272,NCT04362137,Change From Baseline in NEWS2 Score,O1:287|O2:145|O1:264|O2:135|O1:230|O2:120|O1:175|O2:91|O1:113|O2:66|O1:257|O2:132|O1:234|O2:122,O1:-0.7|O2:-0.6|O1:-1.0|O2:-0.8|O1:-1.3|O2:-1.3|O1:-1.1|O2:-1.3|O1:-1.9|O2:-2.2|O1:-2.3|O2:-2.5,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,NEWS2 Score,NEWS2 Score,['NEWS2 Score'],Time Frame: At the begining of inhalation (day 1) and on next day of last inhalation (day 11) ,37208354,Royal College of Physicians NEWS2 (National Early Warning Score 2),Measurement,outcome_226
273,NCT04362137,Change From Baseline in SpO2/FiO2 Ratio,O1:287|O2:145|O1:260|O2:132|O1:232|O2:124,O1:90.110|O2:106.766|O1:105.553|O2:109.710,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,SpO2/FiO2 Ratio ,SpO2/FiO2 Ratio ,"['SpO2', 'SpO2/FiO2 Ratio']",Time Frame: Days 1 - 29. ,4353936|45770406,Inspired oxygen concentration|Baseline SpO2 (oxygen saturation at periphery),Measurement|Measurement,outcome_227
274,NCT04362137,Proportion of Patients With no Oxygen Therapy,O1:287|O2:145|O1:274|O2:140|O1:269|O2:139,O1:255|O2:133|O1:262|O2:136,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,no Oxygen Therapy ,Oxygen,"['Oxygen', 'Oxygen Therapy', 'no Oxygen Therapy']",Time Frame: At the beginning of inhalation (day 1) and on next day of last inhalation (day 11) ,36311244,Oxygen therapy,Meas Value,outcome_228
275,NCT04362137,All Collected Deaths,O1:287|O2:145|O1:281|O2:143|O1:287|O2:145,O1:9|O2:3|O1:9|O2:3,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,Death,Death ,['Death'],NA,1147312,death,Metadata,outcome_198
276,NCT04724538,Count of White Blood Cells (WBC) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:11.2|O2:9.8|O1:9.7|O2:8.7|O1:8.8|O2:9.3,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",NA,4016934,"WBC differential count, peripheral blood buffy coat smear",Measurement,outcome_229
277,NCT04724538,Count of Red Blood Cells (RBC) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:4.5|O2:4.5|O1:4.3|O2:4.4|O1:4.2|O2:4.4,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",NA,4030871,Red blood cell count,Measurement,outcome_230
278,NCT04724538,Hemoglobin Count (Hb) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:140.5|O2:132|O1:137.5|O2:130.6|O1:135.3|O2:131,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event', 'Hemoglobin']",NA,2615333|4244232,"Technetium tc-99m pertechnetate, diagnostic, per millicurie|Hemoglobin",Device|Observation,outcome_231
279,NCT04724538,Percentage of Neutrophils (N) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:76.3|O2:72.2|O1:68.8|O2:72.2|O1:68.4|O2:71.5,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Neutrophils,Neutrophils,"['Adverse Events', 'Adverse', 'Neutrophils', 'Adverse Event']",NA,36308680|2615333,"Neutrophils|Technetium tc-99m pertechnetate, diagnostic, per millicurie",Meas Value|Device,outcome_232
280,NCT04724538,Absolute Neutrophil Count (ANC) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:8.8|O2:7.4|O1:6.8|O2:6.6|O1:6.2|O2:6.9,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",NA,2615333|37393856,"Technetium tc-99m pertechnetate, diagnostic, per millicurie|Neutrophil count",Device|Measurement,outcome_233
281,NCT04724538,Absolute Lymphocyte Count (ALC) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:1.6|O2:1.6|O1:2.1|O2:1.4|O1:1.64|O2:1.73,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event', 'Lymphocyte Count']",NA,2615333|37393858,"Technetium tc-99m pertechnetate, diagnostic, per millicurie|Lymphocyte count",Device|Measurement,outcome_234
282,NCT04724538,Level of Lactate in the Blood After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:5|O2:4.11|O1:4.4|O2:4.6|O1:4.28|O2:4.81,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",NA,2615333,"Technetium tc-99m pertechnetate, diagnostic, per millicurie",Device,outcome_235
283,NCT04724538,Level of D-dimer in Blood After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:1737|O2:1284|O1:843|O2:685|O1:383|O2:859,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,D-dimer,D-dimer,"['Adverse Events', 'D-dimer', 'Adverse', 'Adverse Event']",NA,2615333|37393605,"Technetium tc-99m pertechnetate, diagnostic, per millicurie|D-dimer level",Device|Measurement,outcome_236
284,NCT04724538,Level of CD4+ T-cells in Blood After 99mTc-pertechnetate Aerosol Inhalation for Evaluation of Cellular Immune Response After This Procedure in Patients With COVID-19 Viral Pneumonia,O1:11|O2:14,O1:761|O2:614|O1:1100|O2:832|O1:845|O2:718,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,CD4+,CD4+,['CD4+'],NA,4017426,T lymphocyte positive for CD4 antigen,Spec Anatomic Site,outcome_237
285,NCT04724538,Level of NK-cells in Blood After 99mTc-pertechnetate Aerosol Inhalation for Evaluation of Cellular Immune Response After This Procedure in Patients With COVID-19 Viral Pneumonia,O1:11|O2:14,O1:153|O2:164|O1:188|O2:149|O1:219|O2:181,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,NK-cells,NK-cells,[],NA,4125090|2615333,"NK-cell|Technetium tc-99m pertechnetate, diagnostic, per millicurie",Spec Anatomic Site|Device,outcome_238
286,NCT04674644,The Psychosocial Effects of COVID-19 Pandemic on Dental Professionals Using the Turkish Version of the Fear of COVID-19 Scale,O1:813,O1:18.48,Analysing the Psychosocial Effects of COVID-19 Pandemic on Dental Professionals,Fear,Fear,"['Fear', 'Effect', 'Psychosocial']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4338514,Psychosocial status,Observation,outcome_239
287,NCT04674644,The Psychosocial Effects of COVID-19 Pandemic Using the Turkish Version of the Coronavirus Anxiety Scale,O1:813,O1:2.17,The Psychosocial Effects of COVID-19 Using the Turkish Version of the Coronavirus Anxiety Scale,Psychosocial ,Psychosocial ,"['Effect', 'Psychosocial']","Time Frame: Day 14, chronic phase ",1616551,Coronavirus anxiety scale,Observation,outcome_240
288,NCT04345653,Recruitment Feasibility,O1:46,O1:46,Study Arm,Recruitment Feasibility ,Recruitment Feasibility ,['Recruitment Feasibility'],Time Frame: Baseline to Day 29 ,139830,Recruitment,Condition,outcome_241
289,NCT04345653,Resource Utilization,O1:46,O1:46,Study Arm - Hydroxychloroquine Sulfate (HCQ),Resource Utilization ,Resource Utilization ,['Resource Utilization'],Time Frame: Baseline to Day 29 ,44810591,Johns Hopkins Adjusted Clinical Groups - Resource Utilization Band category,Measurement,outcome_242
290,NCT04345653,Safety as Reflected on the Number and Severity of Adverse Events and Serious Adverse Events,O1:46,O1:0|O1:24,Study Arm - Hydroxychloroquine Sulfate (HCQ),Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 22 days after randomization. ,45884383,Adverse event,Meas Value,outcome_87
291,NCT04345653,Early Feasibility as Reflected on the Number of Participants Contracting COVID-19 (10% or Less) in Comparison to the Expected 30% as Per CDC.,O1:46,O1:0,Study Arm - Hydroxychloroquine Sulfate (HCQ),Early Feasibility,Early Feasibility,['Early Feasibility'],"Time Frame: Day 1, 3, 5, 8, 11, 15, 22, and 29 ",37311061,COVID-19,Condition,outcome_243
292,NCT04338009,Hierarchical Composite Endpoint,O1:77|O2:75,O1:81|O2:73,Discontinuation Arm|Continuation Arm,Hierarchical Composite,Hierarchical Composite,['Hierarchical Composite'],Time Frame: Day 1 through Day 29 ,4034846,Composite,Observation,outcome_244
293,NCT04338009,All-Cause Death,O1:77|O2:75,O1:10|O2:11,Discontinuation Arm|Continuation Arm,Death ,Death ,['Death'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",36031791,All-cause deaths since start of event,Measurement,outcome_245
294,NCT04338009,Length of Hospital Stay,O1:77|O2:75,O1:5|O2:6,Discontinuation Arm|Continuation Arm,Hospital ,Hospitalization,['Hospital'],Time Frame: Day 3 ,46236995,Hospital stay duration,Observation,outcome_246
295,NCT04338009,"Length of ICU Stay, Invasive Mechanical Ventilation or Extracorporeal Membrane Oxygenation",O1:77|O2:75,O1:15|O2:13,Discontinuation Arm|Continuation Arm,"ICU Stay, Invasive Mechanical Ventilation or Extracorporeal Membrane Oxygenation ",ICU,"['Oxygen', 'mechanical Ventilation', 'Mechanical Ventilation', 'ICU Stay, Invasive Mechanical Ventilation or Extracorporeal Membrane Oxygenation', 'Invasive Mechanical Ventilation', 'ICU']","Time Frame: Days 15, 21, 28 ",4052536,Extracorporeal membrane oxygenation,Procedure,outcome_247
296,NCT04338009,AUC SOFA,O1:77|O2:75,O1:7|O2:12,Discontinuation Arm|Continuation Arm,AUC SOFA ,AUC SOFA ,['AUC SOFA'],"Time Frame: Through study completion, an average of 3 months ",4086150|4323504|4086150,Parameter|Clinical trial participant|Parameter,Observation|Observation|Observation,outcome_248
297,NCT04342663,Number of Participants Who Met Clinical Worsening,O1:80|O2:72,O1:0|O2:6,Fluvoxamine|Placebo,Clinical Worsening,Clinical Worsening,[],NA,4323504,Clinical trial participant,Observation,outcome_249
298,NCT04342663,Clinical Deterioration on a Likert-type Scale (0-6),O1:80|O2:72,O1:80|O2:66|O1:0|O2:2|O1:0|O2:0|O1:0|O2:3|O1:0|O2:0|O1:0|O2:1|O1:0|O2:0,Fluvoxamine|Placebo,Deterioration,Detection ,['Deterioration'],NA,4165276,Likert scale,Measurement,outcome_250
299,NCT04425850,Number of Infected Subjects,O1:131|O2:98,O1:0|O2:11,IVER+|IVER-,Infect,Infect,['Infect'],Time Frame: Day 0-14 ,45885195,Infection,Meas Value,outcome_251
300,NCT04425850,Adverse Events Other Than Those Resulting From Contagion or Disease Progression,O1:131|O2:98,O1:0|O2:0,IVER+|IVER-,Adverse Events,Adverse,"['Adverse Events', 'Disease Progression', 'Adverse', 'Adverse Event', 'Progression']",Time Frame: From admission to 14 days after being discharge. ,45884383,Adverse event,Meas Value,outcome_252
301,NCT04411667,Mechanical Ventilation,O1:16|O2:17,O1:2|O2:7,Group A (Study Drug+SOC)|Group B (SOC),Mechanical Ventilation ,Mechanical Ventilation ,"['mechanical Ventilation', 'Mechanical Ventilation']","Time Frame: from date of patient admission to date of patient discharge or date of death, whichever came first, assessed up to 45 days ",4230167,Artificial respiration,Procedure,outcome_69
302,NCT04411667,Oxygen Therapy,O1:0|O2:0,NA,Group A (Study Drug+SOC)|Group B (SOC),Oxygen Therapy ,Oxygen,"['Oxygen', 'Oxygen Therapy']",Time Frame: 28 days after randomization ,36311244,Oxygen therapy,Meas Value,outcome_253
303,NCT04411667,Length of Stay,O1:16|O2:17,O1:12|O2:17,Group A (Study Drug+SOC)|Group B (SOC),Length of Stay ,Length of Stay ,['Length of Stay'],Require Mechanical Ventilation,46236995,Hospital stay duration,Observation,outcome_254
304,NCT04698993,Sensitivity,O1:264|O2:0,O1:96.7,Symptomatic|Asymptomatic,Sensitivity,Sensitivity,[],NA,4148702,Sensitivity,Condition,outcome_255
305,NCT04698993,Specificity,O1:264|O2:0,O1:99.5,Symptomatic|Asymptomatic,Specificity,Specificity,[],NA,4320344,Specific,Observation,outcome_256
306,NCT04698993,Sensitivity in Relation to the Cycle Threshold Value of the Reference RT-PCR (in the Symptomatic Group),O1:69|O2:0,O1:97.8,Symptomatic|Asymptomatic,Symptom,Symptom,"['Symptom', 'RT-PCR']",NA,35939556,"Negative/normal, RT-PCR test",Meas Value,outcome_257
307,NCT04698993,Sensitivity in Relation to the Time Since Symptom Onset (in the Symptomatic Group),O1:69|O2:0,O1:90.9,Symptomatic|Asymptomatic,Symptom,Symptom,['Symptom'],NA,4226277,Time of symptom onset,Observation,outcome_258
308,NCT04698993,Specificity in Asymptomatic Participants,O1:0|O2:105,O2:100,Symptomatic|Asymptomatic,Symptom,Symptom,['Symptom'],NA,45881176,Asymptomatic,Meas Value,outcome_259
309,NCT04698993,Frequency of Nosebleed or Unbearable Pain During or Immediately After Specimen Collection,O1:275|O2:113,O1:0|O2:0,Symptomatic|Asymptomatic,Pain,Pain,[],NA,45881352,Pain,Meas Value,outcome_260
310,NCT04502056,Incidence Rate for Knowledge Gaps: Control vs. Any Intervention,O1:14999|O2:3763,O1:0.214|O2:0.241,Intervention|Control,Incidence Rate,Incidence Rate,[],NA,44803958,Knowledge,Observation,outcome_261
311,NCT04502056,Incidence Rate for Knowledge Gaps: Control vs. Any Intervention - Follow up,O1:4819|O2:1211,O1:0.241|O2:0.250,Intervention|Control,Incidence Rate,Incidence Rate,[],NA,44803958,Knowledge,Observation,outcome_261
312,NCT04502056,Incidence Rate for Information-seeking Behavior: Control vs. Any Intervention,O1:14569|O2:3654,O1:0.338|O2:0.320,Intervention|Control,Incidence Rate,Incidence Rate,[],NA,NA,Incidence Rate,NA,outcome_262
313,NCT04502056,Incidence Rate - Safety Gap Score: Control vs. Any Intervention,O1:4823|O2:1212,O1:0.450|O2:0.465,Intervention|Control,Incidence Rate,Incidence Rate,[],NA,45880179,Safety,Meas Value,outcome_263
314,NCT04502056,Willingness to Pay (WTP) for Masks: Control vs. Any Intervention,O1:13399|O2:3360,O1:14.580|O2:14.072,Intervention|Control,Willingness to Pay (WTP) for Masks,WTP,[],NA,4130245,Mask,Device,outcome_264
315,NCT04502056,Incidence Rate Ratio (IRR) - Knowledge Gap,O1:18762|O2:18762|O3:18762|O4:18762|O5:18762|O6:18762,O1:1.01|O2:0.99|O3:1.01|O4:0.99|O5:0.99|O6:0.89,Within Intervention Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Intervention Group: AMA Anti-racism (Arm A) vs. Either/Neither (Arm B)|Within Intervention Group: Doctor Racial Disparity (Arm A) vs. Either/Neither (Arm B)|Within Control Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Control Group: AMA Anti-racism vs. Either/Neither|Intervention Group vs. Control Group,Incidence Rate Ratio (IRR),IRR,[],NA,44803958,Knowledge,Observation,outcome_265
316,NCT04502056,Incidence Rate Ratio (IRR) - Knowledge Gap - Follow up,O1:6030|O2:6030|O3:6030|O4:6030|O5:6030|O6:6030,O1:0.98|O2:0.98|O3:1.01|O4:1.01|O5:0.98|O6:0.97,Within Intervention Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Intervention Group: AMA Anti-racism (Arm A) vs. Either/Neither (Arm B)|Within Intervention Group: Doctor Racial Disparity (Arm A) vs. Either/Neither (Arm B)|Within Control Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Control Group: AMA Anti-racism vs. Either/Neither|Intervention Group vs. Control Group,Incidence Rate Ratio (IRR),IRR,[],NA,44803958,Knowledge,Observation,outcome_265
317,NCT04502056,Incidence Rate Ratio (IRR) - Information-seeking Behavior,O1:18223|O2:18223|O3:18223|O4:18223|O5:18223|O6:18223,O1:1.04|O2:1.03|O3:1.02|O4:0.96|O5:0.97|O6:1.01,Within Intervention Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Intervention Group: AMA Anti-racism (Arm A) vs. Either/Neither (Arm B)|Within Intervention Group: Doctor Racial Disparity (Arm A) vs. Either/Neither (Arm B)|Within Control Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Control Group: AMA Anti-racism vs. Either/Neither|Intervention Group vs. Control Group,Incidence Rate Ratio (IRR),IRR,[],NA,44803685,Information,Observation,outcome_266
318,NCT04502056,Incidence Rate Ratio (IRR) - Safety Gap Score,O1:6035|O2:6035|O3:6035|O4:6035|O5:6035|O6:6035,O1:1.04|O2:1.03|O3:1.01|O4:0.97|O5:0.95|O6:0.93,Within Intervention Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Intervention Group: AMA Anti-racism (Arm A) vs. Either/Neither (Arm B)|Within Intervention Group: Doctor Racial Disparity (Arm A) vs. Either/Neither (Arm B)|Within Control Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Control Group: AMA Anti-racism vs. Either/Neither|Intervention Group vs. Control Group,Incidence Rate Ratio (IRR),IRR,[],NA,45880179,Safety,Meas Value,outcome_267
319,NCT04502056,OLS Regression Coefficients - Willingness to Pay (WTP) for Masks,O1:16759|O2:16759|O3:16759|O4:16759|O5:16759|O6:16759,O1:-0.21|O2:-0.29|O3:0.07|O4:0.17|O5:0.32|O6:0.71,Within Intervention Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Intervention Group: AMA Anti-racism (Arm A) vs. Either/Neither (Arm B)|Within Intervention Group: Doctor Racial Disparity (Arm A) vs. Either/Neither (Arm B)|Within Control Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Control Group: AMA Anti-racism vs. Either/Neither|Intervention Group vs. Control Group,Willingness to Pay (WTP) for Masks,WTP,[],NA,4130245,Mask,Device,outcome_264
320,NCT04491994,Number of Participants With Progression,O1:151|O2:349,O1:5|O2:11,Standard of Care (SOC)|Intervention Group,Progression ,Progression ,['Progression'],Time Frame: 14 days ,4090959,Progressing to,Observation,outcome_268
321,NCT04491994,Viral Clearance,NA,NA,NA,Viral Clearance ,Viral Clearance,['Viral Clearance'],Time Frame: Pre-SSI ,4124760,Clearance,Observation,outcome_144
322,NCT04728802,14 Day Recovery Rate,O1:317|O2:328,O1:258|O2:117,Proxalutamide + Usual Care|Placebo + Usual Care,Recovery,Recovery,['Recovery'],Time Frame: Baseline to Day 29 ,37079031,Partial recovery,Meas Value,outcome_269
323,NCT04728802,28 Day Recovery Rate,O1:317|O2:328,O1:271|O2:155,Proxalutamide + Usual Care|Placebo + Usual Care,Recovery,Recovery,['Recovery'],Time Frame: Day 29 ,45757484,Every twenty eight days,Observation,outcome_270
324,NCT04728802,28 Day Mortality Rate,O1:317|O2:328,O1:35|O2:162,Proxalutamide + Usual Care|Placebo + Usual Care,Mortality,Death ,"['Mortality Rate', 'Mortality']",Time Frame: during the survey administration ,4249566,Mortality rate,Observation,outcome_222
325,NCT04728802,Post-Randomization Time to Recover (Alive Hospital Discharge),O1:317|O2:328,O1:5|O2:10,Proxalutamide + Usual Care|Placebo + Usual Care,discharge,Discharge,"['discharge', 'Discharge', 'Alive', 'Hospital']",Time Frame: Day 1 through Day 29 ,31999,Recovered,Cost,outcome_271
326,NCT04422561,"Development of Symptoms ( Fever ,Cough, Sore Throat, Myalgia,Diarrhea, Shortness of Breath)",O1:203|O2:101,O1:15|O2:59,Ivermectin Group|Control Group,Fever ,Fever ,"['Development', 'Symptom', 'Fever']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",46234710,Symptom,Observation,outcome_272
327,NCT04422561,Development of COVID,NA,NA,NA,Development,Development,['Development'],Time Frame: Day 5 ,4162085,Development of care plan,Procedure,outcome_273
328,NCT04356937,Mechanical Ventilation or Death,O1:161|O2:81,O1:9.9|O2:10.0|O1:10.6|O2:12.5,Tocilizumab|Placebo,Death,Death ,"['mechanical Ventilation', 'Mechanical Ventilation', 'Death']",NA,4230167|4306655,Artificial respiration|Death,Procedure|Observation,outcome_274
329,NCT04356937,Clinical Worsening on Ordinal Scale,O1:161|O2:81,O1:18.0|O2:14.9|O1:19.3|O2:17.4,Tocilizumab|Placebo,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'ordinal scale']",NA,4332312,Worsening,Observation,outcome_275
330,NCT04356937,Discontinuation of Supplemental Oxygen Among Patients Receiving it at Baseline,O1:138|O2:66,O1:75.4|O2:78.8|O1:82.6|O2:84.9,Tocilizumab|Placebo,Oxygen,Oxygen,['Oxygen'],NA,45884194,Receiving supplemental oxygen,Meas Value,outcome_276
331,NCT04407507,Participants With a Disease Control Status Defined as no Disease Progression to Severe.,O1:30|O2:26,O1:30|O2:26,Ivermectin|Placebo,Disease Progression,Progression,"['Disease Progression', 'Progression']",Time Frame: Day 1 through Day 29 ,4128759,Under care of radiologist,Observation,outcome_277
332,NCT04407507,"SARS-CoV-2 Viral Load, at 5 and 14 Days",O1:30|O2:26|O1:30|O2:26|O1:26|O2:24|O1:21|O2:20,O1:26.17|O2:23.3|O1:30.52|O2:28.5|O1:33.74|O2:32.94,Ivermectin|Placebo|Ivermectin|Placebo|Ivermectin|Placebo|Ivermectin|Placebo,Viral Load ,Viral Load,['Viral Load'],Time Frame: Immediately Post-SSI only ,37311065,SARS-CoV-2,Observation,outcome_278
333,NCT04407507,Presence and Frequency of Symptoms Associated With the COVID-19 Disease,O1:30|O2:26,O1:7.67|O2:5.44|O1:51.7|O2:34.1|O1:29.5|O2:24.6|O1:45.4|O2:38.1|O1:16.7|O2:14.9|O1:32.3|O2:26.9|O1:13|O2:9.74|O1:25.7|O2:17.5|O1:13|O2:7.16|O1:18.9|O2:8.31|O1:19.4|O2:10.9|O1:1.79|O2:0.57|O1:28.6|O2:14.3,Ivermectin|Placebo,Symptom,Symptom,['Symptom'],Time Frame: Approximately 30 days ,1333343,COVID-19 Related Symptoms,Observation,outcome_279
334,NCT04390022,Proportion of Patients With a Positive SARS-CoV-2 PCR,O1:12|O2:12,O1:12|O2:12|O1:11|O2:12,Ivermectin|Placebo,Positive,Positive,['Positive'],Time Frame: 14 days ,3667069,Detection of ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 using polymerase chain reaction,Observation,outcome_280
335,NCT04390022,Median Viral Load,O1:12|O2:12,O1:16850000|O2:26700000|O1:161000|O2:493500|O1:1018|O2:23550|O1:7|O2:30|O1:1|O2:0|O1:367000000|O2:327500000|O1:269000|O2:2194500|O1:2255|O2:36800|O1:86|O2:75|O1:0|O2:107,Ivermectin|Placebo,Viral Load ,Viral Load,['Viral Load'],Time Frame: Pre-SSI only ,37393279,Viral load,Measurement,outcome_281
336,NCT04390022,Fever and Cough Progression,O1:12|O2:12,O1:0|O2:0|O1:1|O2:0|O1:0|O2:0|O1:0|O2:0|O1:5|O2:6|O1:5|O2:5|O1:1|O2:3|O1:1|O2:3,Ivermectin|Placebo,Fever ,Fever ,"['Fever', 'Progression']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4048098,Cough with fever,Condition,outcome_282
337,NCT04390022,Seroconversion at Day 21,O1:12|O2:12,O1:12|O2:12,Ivermectin|Placebo,Seroconversion at Day 21 ,Seroconversion,['Seroconversion at Day 21'],Time Frame: Baseline up to 60 days ,4153902,Conversions,Observation,outcome_283
338,NCT04390022,Proportion of Drug-related Adverse Events,O1:12|O2:12,O1:0|O2:0,Ivermectin|Placebo,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: Admission to discharge dates (approximately 4-14 days after admission). Discharge variables considered as the last available data before their death for the expired patients. ,45884383,Adverse event,Meas Value,outcome_174
339,NCT04390022,"Levels of IgG, IgM and IgA",NA,NA,NA,IgG,IgG,['IgG'],Time Frame: 28 Days ,36308963,IgM and IgG positive,Meas Value,outcome_284
340,NCT04390022,Frequency of Innate Immune Cells,NA,NA,NA,Innate Immune Cells ,Innate Immune Cells ,['Innate Immune Cells'],"Time Frame: Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends) ",4275284,Immunologic cell,Spec Anatomic Site,outcome_285
